Date,WIP,,Date,,,,date,all_wpd,,Date,,,Date,WIP,MOVE,,Date,WIP,MOVE
2022/4/22,171,,2021/8/1,,,,2021/11/19,5062,,2021/8/1,,,2021/8/23,15571,5546,,2021/8/23,15571,5546
2022/4/22,0,,2021/8/2,,,,2021/11/19,4117,,2021/8/2,,,2021/8/24,9266,0,,2021/8/24,9266,5546
2022/4/22,0,,2021/8/3,,,,2021/11/19,4074,,2021/8/3,,,2021/8/25,19326,9287,,2021/8/25,19326,9287
2022/4/22,125,,2021/8/4,,,,2022/3/22,4006,,2021/8/4,,,2021/8/26,38328,0,,2021/8/26,38328,9287
2022/4/22,454,,2021/8/5,,,,2021/11/15,4292,,2021/8/5,,,2021/8/27,15854,10937,,2021/8/27,15854,10937
2022/4/22,46,,2021/8/6,,,,2021/11/15,3056,,2021/8/6,,,2021/8/28,25384,9856,,2021/8/28,25384,9856
2022/4/22,1079,,2021/8/7,,,,2022/6/19,5494,,2021/8/7,,,2021/8/29,19134,5879,,2021/8/29,19134,5879
2022/4/22,6385,,2021/8/8,,,,2022/3/5,4802,,2021/8/8,,,2021/8/30,25616,10077,,2021/8/30,25616,10077
2021/9/9,354,,2021/8/9,,,,2022/3/5,5299,,2021/8/9,,,2021/8/31,15160,4123,,2021/8/31,15160,4123
2021/9/9,0,,2021/8/10,,,,2022/3/5,5728,,2021/8/10,,,2021/9/1,11728,0,,2021/9/1,11728,4123
2021/9/9,1149,,2021/8/11,,,,2021/10/25,5072,,2021/8/11,,,2021/9/2,57027,10834,,2021/9/2,57027,10834
2021/9/9,878,,2021/8/12,,,,2022/4/1,0,,2021/8/12,,,2021/9/3,37864,11014,,2021/9/3,37864,11014
2021/9/9,763,,2021/8/13,,,,2022/4/1,5190,,2021/8/13,,,2021/9/4,14565,0,,2021/9/4,14565,11014
2021/9/14,0,,2021/8/14,,,,2022/4/1,4770,,2021/8/14,,,2021/9/5,25129,0,,2021/9/5,25129,11014
2021/9/14,559,,2021/8/15,,,,2021/10/22,6132,,2021/8/15,,,2021/9/6,33696,14418,,2021/9/6,33696,14418
2021/9/14,92,,2021/8/16,,,,2021/10/22,4615,,2021/8/16,,,2021/9/7,28308,5911,,2021/9/7,28308,5911
2021/9/14,75,,2021/8/17,,,,2022/1/13,5439,,2021/8/17,,,2021/9/8,21968,0,,2021/9/8,21968,5911
2021/9/14,949,,2021/8/18,,,,2022/1/13,5164,,2021/8/18,,,2021/9/9,17507,0,,2021/9/9,17507,5911
2021/9/14,96,,2021/8/19,,,,2022/1/13,3162,,2021/8/19,,,2021/9/10,33131,0,,2021/9/10,33131,5911
2022/4/22,100,,2021/8/20,,,,2022/1/13,1470,,2021/8/20,,,2021/9/11,21435,5615,,2021/9/11,21435,5615
2022/4/22,488,,2021/8/21,,,,2021/9/25,34,,2021/8/21,,,2021/9/12,33523,0,,2021/9/12,33523,5615
2022/4/22,570,,2021/8/22,,,,2022/4/3,5093,,2021/8/22,,,2021/9/13,49569,10186,,2021/9/13,49569,10186
2022/4/22,0,,2021/8/23,,,,2022/4/3,5288,,2021/8/23,,,2021/9/14,18072,10590,,2021/9/14,18072,10590
2022/4/22,0,,2021/8/24,,,,2022/4/3,5302,,2021/8/24,,,2021/9/15,30153,10041,,2021/9/15,30153,10041
2022/4/22,0,,2021/8/25,,,,2022/7/10,5672,,2021/8/25,,,2021/9/16,5293,10692,,2021/9/16,5293,10692
2022/4/22,449,,2021/8/26,,,,2022/7/10,5868,,2021/8/26,,,2021/9/17,31788,5822,,2021/9/17,31788,5822
2022/4/22,5035,,2021/8/27,,,,2022/7/10,4842,,2021/8/27,,,2021/9/18,14846,10078,,2021/9/18,14846,10078
2021/9/14,42,,2021/8/28,,,,2022/8/10,5172,,2021/8/28,,,2021/9/19,3032,0,,2021/9/19,3032,10078
2021/9/14,0,,2021/8/29,,,,2022/8/10,5370,,2021/8/29,,,2021/9/20,19734,0,,2021/9/20,19734,10078
2021/9/14,0,,2021/8/30,,,,2022/8/2,4082,,2021/8/30,,,2021/9/21,16265,9430,,2021/9/21,16265,9430
2021/9/14,17,,2021/8/31,,,,2022/8/2,5034,,2021/8/31,,,2021/9/22,21941,11382,,2021/9/22,21941,11382
2021/9/14,521,,2021/9/1,,,,2022/8/2,5098,,2021/9/1,,,2021/9/23,14698,5278,,2021/9/23,14698,5278
2021/9/14,0,,2021/9/2,,,,2021/8/29,5879,,2021/9/2,,,2021/9/24,14566,4828,,2021/9/24,14566,4828
2021/9/14,50,,2021/9/3,,,,2021/8/29,0,,2021/9/3,,,2021/9/25,12585,34,,2021/9/25,12585,4828
2022/4/22,822,,2021/9/4,,,,2022/5/26,4929,,2021/9/4,,,2021/9/26,31361,18889,,2021/9/26,31361,18889
2022/4/22,281,,2021/9/5,,,,2021/11/24,575,,2021/9/5,,,2021/9/27,28299,0,,2021/9/27,28299,18889
2022/4/22,1760,,2021/9/6,,,,2021/11/24,2974,,2021/9/6,,,2021/9/28,23881,10030,,2021/9/28,23881,10030
2022/4/22,634,,2021/9/7,,,,2021/11/24,5541,,2021/9/7,,,2021/9/29,32243,0,,2021/9/29,32243,10030
2022/4/22,124,,2021/9/8,,,,2021/11/24,5730,,2021/9/8,,,2021/9/30,29615,5383,,2021/9/30,29615,5383
2022/4/22,0,,2021/9/9,,,,2021/11/24,0,,2021/9/9,,,2021/10/1,121,5379,,2021/10/1,121,5379
2022/4/22,221,,2021/9/10,,,,2022/5/12,5675,,2021/9/10,,,2021/10/2,30169,4392,,2021/10/2,30169,4392
2022/4/22,0,,2021/9/11,,,,2022/6/18,5485,,2021/9/11,,,2021/10/3,4072,20318,,2021/10/3,4072,20318
2022/4/22,824,,2021/9/12,,,,2022/6/18,5124,,2021/9/12,,,2021/10/4,27289,15783,,2021/10/4,27289,15783
2022/1/13,0,,2021/9/13,,,,2021/9/3,5221,,2021/9/13,,,2021/10/5,18644,0,,2021/10/5,18644,15783
2022/1/13,175,,2021/9/14,,,,2021/9/3,5793,,2021/9/14,,,2021/10/6,17114,8868,,2021/10/6,17114,8868
2022/1/13,230,,2021/9/15,,,,2022/3/6,4395,,2021/9/15,,,2021/10/7,17855,5299,,2021/10/7,17855,5299
2022/1/13,70,,2021/9/16,,,,2021/9/8,0,,2021/9/16,,,2021/10/8,18611,0,,2021/10/8,18611,5299
2022/1/13,0,,2021/9/17,,,,2022/7/21,4608,,2021/9/17,,,2021/10/9,16419,3811,,2021/10/9,16419,3811
2022/1/13,167,,2021/9/18,,,,2022/7/21,5188,,2021/9/18,,,2021/10/10,37241,10188,,2021/10/10,37241,10188
2022/1/13,0,,2021/9/19,,,,2022/7/21,5645,,2021/9/19,,,2021/10/11,32284,4526,,2021/10/11,32284,4526
2022/1/13,0,,2021/9/20,,,,2022/7/21,5002,,2021/9/20,,,2021/10/12,36094,0,,2021/10/12,36094,4526
2022/1/13,67,,2021/9/21,,,,2021/11/25,5746,,2021/9/21,,,2021/10/13,49713,0,,2021/10/13,49713,4526
2022/1/13,0,,2021/9/22,,,,2021/11/25,5862,,2021/9/22,,,2021/10/14,23547,6726,,2021/10/14,23547,6726
2022/1/13,0,,2021/9/23,,,,2021/11/25,0,,2021/9/23,,,2021/10/15,27552,0,,2021/10/15,27552,6726
2022/7/3,839,,2021/9/24,,,,2021/11/7,4712,,2021/9/24,,,2021/10/16,44356,19198,,2021/10/16,44356,19198
2022/7/3,0,,2021/9/25,,,,2021/9/16,4740,,2021/9/25,,,2021/10/17,3542,4591,,2021/10/17,3542,4591
2022/7/3,0,,2021/9/26,,,,2021/9/16,5952,,2021/9/26,,,2021/10/18,28456,11496,,2021/10/18,28456,11496
2022/7/3,1107,,2021/9/27,,,,2021/11/17,5732,,2021/9/27,,,2021/10/19,20882,0,,2021/10/19,20882,11496
2022/7/3,25,,2021/9/28,,,,2021/11/17,6076,,2021/9/28,,,2021/10/20,13811,5241,,2021/10/20,13811,5241
2022/7/3,21,,2021/9/29,,,,2021/8/23,5546,,2021/9/29,,,2021/10/21,16397,5241,,2021/10/21,16397,5241
2022/7/3,705,,2021/9/30,,,,2021/9/22,5563,,2021/9/30,,,2021/10/22,25383,10747,,2021/10/22,25383,10747
2022/7/3,80,,2021/10/1,,,,2021/9/22,5819,,2021/10/1,,,2021/10/23,8920,0,,2021/10/23,8920,10747
2022/4/22,0,,2021/10/2,,,,2022/8/3,5598,,2021/10/2,,,2021/10/24,31520,0,,2021/10/24,31520,10747
2022/6/26,0,,2021/10/3,,,,2022/8/3,5057,,2021/10/3,,,2021/10/25,25053,5072,,2021/10/25,25053,5072
2022/6/26,0,,2021/10/4,,,,2021/12/17,4116,,2021/10/4,,,2021/10/26,25204,5395,,2021/10/26,25204,5395
2022/6/26,141,,2021/10/5,,,,2021/12/17,5663,,2021/10/5,,,2021/10/27,2766,0,,2021/10/27,2766,5395
2022/6/26,197,,2021/10/6,,,,2022/2/21,5161,,2021/10/6,,,2021/10/28,14276,4268,,2021/10/28,14276,4268
