date,all_wpd,,,move,,Date,WIP,,,WIP,,DATE,move,WIP
2021/11/19,5847,,2021/8/22,15993,,2022/4/22,0,,2021/8/22,0,,2021/8/22,15993,5235
2021/11/19,2943,,2021/8/23,15481,,2022/4/22,0,,2021/8/23,5265,,2021/8/23,15481,5265
2022/7/18,6054,,2021/8/24,16346,,2022/4/22,0,,2021/8/24,5269,,2021/8/24,16346,5269
2022/7/12,5285,,2021/8/25,5869,,2022/4/22,25,,2021/8/25,5627,,2021/8/25,5869,5627
2022/7/12,5662,,2021/8/26,17329,,2022/4/22,0,,2021/8/26,17193,,2021/8/26,17329,17193
2022/7/12,5830,,2021/8/27,10500,,2022/4/22,0,,2021/8/27,3695,,2021/8/27,10500,3695
2022/3/22,4719,,2021/8/28,5575,,2022/4/22,888,,2021/8/28,5418,,2021/8/28,5575,5418
2022/3/22,3281,,2021/8/29,21934,,2022/4/22,150,,2021/8/29,11609,,2021/8/29,21934,11609
2022/3/22,3107,,2021/8/30,11033,,2021/9/9,537,,2021/8/30,7849,,2021/8/30,11033,7849
2021/11/15,5967,,2021/8/31,27136,,2021/9/9,200,,2021/8/31,2917,,2021/8/31,27136,2917
2021/11/15,5839,,2021/9/1,11455,,2021/9/9,100,,2021/9/1,3819,,2021/9/1,11455,3819
2021/11/15,5432,,2021/9/2,903,,2021/9/9,100,,2021/9/2,20492,,2021/9/2,903,20492
2022/2/14,5281,,2021/9/3,5290,,2021/9/9,75,,2021/9/3,13350,,2021/9/3,5290,13350
2022/2/14,5074,,2021/9/4,14363,,2021/9/9,375,,2021/9/4,7438,,2021/9/4,14363,7438
2022/2/14,1686,,2021/9/5,17532,,2021/9/14,1000,,2021/9/5,6228,,2021/9/5,17532,6228
2022/2/14,5681,,2021/9/6,10802,,2021/9/14,0,,2021/9/6,9948,,2021/9/6,10802,9948
2022/2/14,4253,,2021/9/7,5527,,2021/9/14,902,,2021/9/7,4632,,2021/9/7,5527,4632
2022/2/14,3193,,2021/9/8,5609,,2021/9/14,344,,2021/9/8,6196,,2021/9/8,5609,6196
2022/6/19,5093,,2021/9/9,10658,,2021/9/14,1288,,2021/9/9,6158,,2021/9/9,10658,6158
2022/3/5,5797,,2021/9/10,11566,,2021/9/14,474,,2021/9/10,19277,,2021/9/10,11566,19277
2022/3/5,5846,,2021/9/11,16814,,2021/9/14,96,,2021/9/11,11892,,2021/9/11,16814,11892
2021/10/25,5988,,2021/9/12,5731,,2022/4/22,27,,2021/9/12,11509,,2021/9/12,5731,11509
2021/10/25,4815,,2021/9/13,17337,,2022/4/22,900,,2021/9/13,25253,,2021/9/13,17337,25253
2022/3/30,5578,,2021/9/14,15330,,2022/4/22,400,,2021/9/14,14921,,2021/9/14,15330,14921
2022/3/30,5788,,2021/9/15,20898,,2021/9/14,100,,2021/9/15,16380,,2021/9/15,20898,16380
2022/3/30,4876,,2021/9/16,11228,,2021/9/14,425,,2021/9/16,1701,,2021/9/16,11228,1701
2022/3/30,5077,,2021/9/17,5479,,2021/9/14,193,,2021/9/17,13702,,2021/9/17,5479,13702
2022/3/30,4719,,2021/9/18,20587,,2021/9/14,25,,2021/9/18,5084,,2021/9/18,20587,5084
2022/4/1,5711,,2021/9/19,22358,,2022/4/22,0,,2021/9/19,3083,,2021/9/19,22358,3083
2022/4/1,5390,,2021/9/20,16117,,2022/4/22,225,,2021/9/20,9614,,2021/9/20,16117,9614
2022/4/1,4171,,2021/9/21,5427,,2022/4/22,87,,2021/9/21,10125,,2021/9/21,5427,10125
2021/10/22,4782,,2021/9/22,21393,,2022/4/22,0,,2021/9/22,14696,,2021/9/22,21393,14696
2021/10/22,5835,,2021/9/23,16624,,2022/4/22,483,,2021/9/23,6102,,2021/9/23,16624,6102
2022/1/13,5732,,2021/9/24,16478,,2022/4/22,405,,2021/9/24,6254,,2021/9/24,16478,6254
2022/1/13,5778,,2021/9/25,5677,,2022/4/22,109,,2021/9/25,7498,,2021/9/25,5677,7498
2021/11/1,6129,,2021/9/26,3372,,2022/4/22,0,,2021/9/26,12323,,2021/9/26,3372,12323
2021/11/1,5979,,2021/9/27,15806,,2022/1/13,1225,,2021/9/27,15494,,2021/9/27,15806,15494
2021/8/24,4595,,2021/9/28,5632,,2022/7/3,0,,2021/9/28,6627,,2021/9/28,5632,6627
2021/8/24,5769,,2021/9/29,10452,,2022/7/3,350,,2021/9/29,11213,,2021/9/29,10452,11213
2021/8/24,5982,,2021/9/30,11169,,2022/7/3,25,,2021/9/30,14069,,2021/9/30,11169,14069
2021/9/25,5677,,2021/10/1,10069,,2022/7/3,552,,2021/10/1,0,,2021/10/1,10069,0
2022/4/3,4972,,2021/10/2,10256,,2022/4/22,347,,2021/10/2,19559,,2021/10/2,10256,19559
2022/4/3,6004,,2021/10/3,16996,,2022/4/22,575,,2021/10/3,1567,,2021/10/3,16996,1567
2022/4/3,4716,,2021/10/4,0,,2022/4/22,0,,2021/10/4,5032,,2021/10/4,0,5032
2022/4/3,5305,,2021/10/5,16826,,2022/1/13,0,,2021/10/5,9330,,2021/10/5,16826,9330
2022/4/3,5616,,2021/10/6,16720,,2022/1/13,96,,2021/10/6,4643,,2021/10/6,16720,4643
2022/6/6,5683,,2021/10/7,17833,,2022/1/13,82,,2021/10/7,6955,,2021/10/7,17833,6955
2022/6/6,4779,,2021/10/8,5823,,2022/1/13,75,,2021/10/8,13846,,2021/10/8,5823,13846
2022/6/6,5515,,2021/10/9,4797,,2021/12/18,696,,2021/10/9,8093,,2021/10/9,4797,8093
2022/7/10,4991,,2021/10/10,29017,,2021/12/18,724,,2021/10/10,15749,,2021/10/10,29017,15749
2022/7/10,5638,,2021/10/11,17745,,2021/12/18,15,,2021/10/11,10556,,2021/10/11,17745,10556
2022/7/10,5226,,2021/10/12,17579,,2021/12/18,42,,2021/10/12,21286,,2021/10/12,17579,21286
2022/7/10,4589,,2021/10/13,15668,,2021/12/18,75,,2021/10/13,22394,,2021/10/13,15668,22394
2022/7/10,5748,,2021/10/14,11189,,2022/7/3,200,,2021/10/14,5329,,2021/10/14,11189,5329
2021/10/15,4179,,2021/10/15,16062,,2022/7/3,0,,2021/10/15,6912,,2021/10/15,16062,6912
2021/10/15,5826,,2021/10/16,17702,,2022/6/26,488,,2021/10/16,19882,,2021/10/16,17702,19882
2021/10/15,6057,,2021/10/17,11746,,2022/6/26,554,,2021/10/17,1898,,2021/10/17,11746,1898
2022/8/10,5839,,2021/10/18,14976,,2022/6/26,769,,2021/10/18,8982,,2021/10/18,14976,8982
2022/8/10,5147,,2021/10/19,9503,,2022/6/26,0,,2021/10/19,9391,,2021/10/19,9503,9391
2022/8/10,5041,,2021/10/20,15847,,2022/6/26,50,,2021/10/20,9350,,2021/10/20,15847,9350
2022/8/10,4408,,2021/10/21,5894,,2022/6/26,550,,2021/10/21,6311,,2021/10/21,5894,6311
2022/8/2,5791,,2021/10/22,10617,,2022/6/26,219,,2021/10/22,4243,,2021/10/22,10617,4243
2022/8/2,2179,,2021/10/23,15810,,2022/8/14,323,,2021/10/23,1227,,2021/10/23,15810,1227
2021/8/29,5640,,2021/10/24,17436,,2022/8/14,100,,2021/10/24,7953,,2021/10/24,17436,7953
2021/8/29,5547,,2021/10/25,10803,,2021/9/18,0,,2021/10/25,6137,,2021/10/25,10803,6137
2021/8/29,5455,,2021/10/26,5491,,2021/9/18,75,,2021/10/26,7572,,2021/10/26,5491,7572
2021/8/29,5292,,2021/10/27,10023,,2021/12/18,0,,2021/10/27,1019,,2021/10/27,10023,1019
2022/5/26,5434,,2021/10/28,5826,,2021/12/18,0,,2021/10/28,7476,,2021/10/28,5826,7476
2022/5/26,5545,,2021/10/29,5771,,2021/12/18,0,,2021/10/29,9932,,2021/10/29,5771,9932
2022/5/26,5602,,2021/10/30,11223,,2021/12/18,600,,2021/10/30,5011,,2021/10/30,11223,5011
2022/5/26,5845,,2021/10/31,5557,,2021/12/18,0,,2021/10/31,947,,2021/10/31,5557,947
2022/5/26,5731,,2021/11/1,12108,,2021/12/18,96,,2021/11/1,7122,,2021/11/1,12108,7122
2022/8/14,5468,,2021/11/2,5930,,2021/12/18,0,,2021/11/2,8289,,2021/11/2,5930,8289
2022/8/14,2110,,2021/11/3,17030,,2021/12/18,475,,2021/11/3,8719,,2021/11/3,17030,8719
2022/8/14,4576,,2021/11/4,11434,,2022/7/3,91,,2021/11/4,634,,2021/11/4,11434,634
2022/5/27,5679,,2021/11/5,15199,,2022/7/3,23,,2021/11/5,150,,2021/11/5,15199,150
2022/5/27,5571,,2021/11/6,9733,,2021/9/15,0,,2021/11/6,2274,,2021/11/6,9733,2274
2022/5/27,5394,,2021/11/7,11710,,2022/6/26,1993,,2021/11/7,4271,,2021/11/7,11710,4271
2022/5/27,5577,,2021/11/8,11872,,2022/6/26,200,,2021/11/8,6941,,2021/11/8,11872,6941
2021/11/24,5936,,2021/11/9,8888,,2022/6/26,296,,2021/11/9,4479,,2021/11/9,8888,4479
2021/11/24,5831,,2021/11/10,0,,2022/6/26,250,,2021/11/10,4173,,2021/11/10,0,4173
2022/5/12,6080,,2021/11/11,28713,,2022/6/26,21,,2021/11/11,5909,,2021/11/11,28713,5909
2022/5/12,5512,,2021/11/12,22949,,2022/6/26,175,,2021/11/12,8241,,2021/11/12,22949,8241
2022/6/18,5737,,2021/11/13,11169,,2022/8/14,250,,2021/11/13,11057,,2021/11/13,11169,11057
2022/6/18,5167,,2021/11/14,12174,,2021/9/18,50,,2021/11/14,3250,,2021/11/14,12174,3250
2022/6/18,5318,,2021/11/15,17238,,2021/9/18,0,,2021/11/15,5798,,2021/11/15,17238,5798
2022/6/18,5713,,2021/11/16,23080,,2021/9/18,0,,2021/11/16,3529,,2021/11/16,23080,3529
2021/9/3,5290,,2021/11/17,5856,,2021/9/18,150,,2021/11/17,6671,,2021/11/17,5856,6671
2022/3/6,5500,,2021/11/18,16831,,2021/9/18,282,,2021/11/18,3038,,2021/11/18,16831,3038
2022/3/6,4930,,2021/11/19,8790,,2021/9/18,650,,2021/11/19,1437,,2021/11/19,8790,1437
2021/9/8,5609,,2021/11/20,5673,,2021/9/18,1067,,2021/11/20,10244,,2021/11/20,5673,10244
2022/7/21,5156,,2021/11/21,15976,,2021/9/18,125,,2021/11/21,12066,,2021/11/21,15976,12066
2022/7/21,5805,,2021/11/22,28069,,2021/12/18,21,,2021/11/22,9973,,2021/11/22,28069,9973
2022/7/21,5375,,2021/11/23,11682,,2021/12/18,0,,2021/11/23,2998,,2021/11/23,11682,2998
2021/11/25,5824,,2021/11/24,11767,,2021/12/18,42,,2021/11/24,6315,,2021/11/24,11767,6315
2022/8/12,5669,,2021/11/25,5824,,2021/12/18,0,,2021/11/25,6419,,2021/11/25,5824,6419
2022/8/12,5707,,2021/11/26,0,,2021/12/18,543,,2021/11/26,5228,,2021/11/26,0,5228
2022/8/12,5838,,2021/11/27,10916,,2021/12/18,50,,2021/11/27,4406,,2021/11/27,10916,4406
2022/8/12,5606,,2021/11/28,6116,,2022/1/15,0,,2021/11/28,9867,,2021/11/28,6116,9867
2021/11/7,5524,,2021/11/29,10877,,2022/1/15,71,,2021/11/29,8158,,2021/11/29,10877,8158
2021/11/7,6186,,2021/11/30,21175,,2021/9/15,75,,2021/11/30,1431,,2021/11/30,21175,1431
2021/9/16,5395,,2021/12/1,11546,,2021/9/15,500,,2021/12/1,16100,,2021/12/1,11546,16100
2021/9/16,5833,,2021/12/2,33166,,2021/9/15,25,,2021/12/2,2905,,2021/12/2,33166,2905
2022/6/2,5458,,2021/12/3,13963,,2021/9/15,1091,,2021/12/3,9392,,2021/12/3,13963,9392
2022/6/2,4271,,2021/12/4,14665,,2022/6/26,317,,2021/12/4,400,,2021/12/4,14665,400
2022/6/2,5327,,2021/12/5,6007,,2022/6/26,1348,,2021/12/5,0,,2021/12/5,6007,0
2022/6/2,5770,,2021/12/6,0,,2022/6/26,248,,2021/12/6,10301,,2021/12/6,0,10301
2021/11/17,5856,,2021/12/7,16089,,2022/8/14,0,,2021/12/7,7772,,2021/12/7,16089,7772
2022/8/6,5178,,2021/12/8,16625,,2022/8/14,0,,2021/12/8,18618,,2021/12/8,16625,18618
2021/8/23,5429,,2021/12/9,17001,,2022/8/14,475,,2021/12/9,10938,,2021/12/9,17001,10938
2021/8/23,4692,,2021/12/10,5786,,2022/8/14,0,,2021/12/10,1900,,2021/12/10,5786,1900
2021/8/23,5360,,2021/12/11,11243,,2022/8/14,371,,2021/12/11,8907,,2021/12/11,11243,8907
2021/9/22,5507,,2021/12/12,11455,,2021/9/18,250,,2021/12/12,150,,2021/12/12,11455,150
2021/9/22,5320,,2021/12/13,22476,,2021/9/18,75,,2021/12/13,7065,,2021/12/13,22476,7065
2021/9/22,5503,,2021/12/14,17798,,2021/9/18,352,,2021/12/14,13238,,2021/12/14,17798,13238
2021/9/22,5063,,2021/12/15,11600,,2021/9/18,200,,2021/12/15,3990,,2021/12/15,11600,3990
2021/11/29,5678,,2021/12/16,16056,,2021/9/18,99,,2021/12/16,5804,,2021/12/16,16056,5804
2021/11/29,5199,,2021/12/17,7151,,2021/9/18,0,,2021/12/17,14542,,2021/12/17,7151,14542
2022/8/3,5741,,2021/12/18,12881,,2022/1/15,50,,2021/12/18,7575,,2021/12/18,12881,7575
2022/8/3,5786,,2021/12/19,11362,,2022/1/15,121,,2021/12/19,10530,,2021/12/19,11362,10530
2022/8/3,4808,,2021/12/20,22111,,2022/1/15,0,,2021/12/20,5846,,2021/12/20,22111,5846
2021/12/17,1200,,2021/12/21,15832,,2022/1/15,0,,2021/12/21,8010,,2021/12/21,15832,8010
2021/12/17,5951,,2021/12/22,11727,,2022/1/15,100,,2021/12/22,11543,,2021/12/22,11727,11543
2022/2/21,4402,,2021/12/23,21630,,2021/9/15,516,,2021/12/23,19333,,2021/12/23,21630,19333
2022/2/21,4391,,2021/12/24,15298,,2021/9/13,422,,2021/12/24,9937,,2021/12/24,15298,9937
2022/2/21,5315,,2021/12/25,5383,,2022/8/14,25,,2021/12/25,3113,,2021/12/25,5383,3113
2022/2/21,5467,,2021/12/26,21817,,2021/9/18,225,,2021/12/26,17033,,2021/12/26,21817,17033
2021/9/15,5610,,2021/12/27,4831,,2021/9/18,225,,2021/12/27,16993,,2021/12/27,4831,16993
2021/9/15,4193,,2021/12/28,10075,,2021/9/18,50,,2021/12/28,5492,,2021/12/28,10075,5492
2021/9/15,5115,,2021/12/29,9632,,2021/9/18,50,,2021/12/29,8228,,2021/12/29,9632,8228
2021/9/15,5980,,2021/12/30,11712,,2021/9/18,615,,2021/12/30,9038,,2021/12/30,11712,9038
2022/4/30,5919,,2021/12/31,5907,,2021/9/18,0,,2021/12/31,1729,,2021/12/31,5907,1729
2022/4/30,5624,,2022/1/1,22281,,2022/1/15,79,,2022/1/1,7478,,2022/1/1,22281,7478
2022/4/30,5273,,2022/1/2,11660,,2022/1/15,0,,2022/1/2,9116,,2022/1/2,11660,9116
2022/5/3,5658,,2022/1/3,25035,,2021/11/16,42,,2022/1/3,9974,,2022/1/3,25035,9974
2022/5/3,5358,,2022/1/4,5823,,2021/11/16,0,,2022/1/4,2885,,2022/1/4,5823,2885
2022/5/3,4767,,2022/1/5,0,,2021/11/16,50,,2022/1/5,8009,,2022/1/5,0,8009
2022/5/3,5604,,2022/1/6,8820,,2022/2/25,525,,2022/1/6,8033,,2022/1/6,8820,8033
2022/5/3,3570,,2022/1/7,5414,,2022/2/25,0,,2022/1/7,11588,,2022/1/7,5414,11588
2022/4/12,0,,2022/1/8,6016,,2022/2/25,250,,2022/1/8,11996,,2022/1/8,6016,11996
2022/4/12,6003,,2022/1/9,17874,,2022/2/25,871,,2022/1/9,8258,,2022/1/9,17874,8258
2022/4/12,3700,,2022/1/10,16345,,2022/2/25,148,,2022/1/10,9070,,2022/1/10,16345,9070
2021/10/28,5826,,2022/1/11,9870,,2022/2/25,0,,2022/1/11,4554,,2022/1/11,9870,4554
2022/2/1,5578,,2022/1/12,11380,,2022/2/25,1692,,2022/1/12,9724,,2022/1/12,11380,9724
2022/2/1,561,,2022/1/13,11510,,2021/9/13,0,,2022/1/13,5690,,2022/1/13,11510,5690
2021/12/29,5627,,2022/1/14,5719,,2021/9/13,250,,2022/1/14,5766,,2022/1/14,5719,5766
2021/12/29,4005,,2022/1/15,15839,,2021/9/13,4,,2022/1/15,2973,,2022/1/15,15839,2973
2021/12/29,0,,2022/1/16,17426,,2021/9/13,0,,2022/1/16,10885,,2022/1/16,17426,10885
2022/6/1,3873,,2022/1/17,5492,,2021/9/13,0,,2022/1/17,0,,2022/1/17,5492,0
2022/6/1,4918,,2022/1/18,16710,,2021/9/13,909,,2022/1/18,14734,,2022/1/18,16710,14734
2022/6/1,5536,,2022/1/19,5653,,2021/9/13,446,,2022/1/19,17311,,2022/1/19,5653,17311
2022/6/1,5113,,2022/1/20,11047,,2022/1/2,0,,2022/1/20,7125,,2022/1/20,11047,7125
2021/10/11,5783,,2022/1/21,15877,,2022/1/2,100,,2022/1/21,318,,2022/1/21,15877,318
2021/10/11,6052,,2022/1/22,8328,,2022/1/2,71,,2022/1/22,7939,,2022/1/22,8328,7939
2021/10/11,5910,,2022/1/23,0,,2022/1/26,244,,2022/1/23,0,,2022/1/23,0,0
2022/3/31,4929,,2022/1/24,17272,,2022/1/26,324,,2022/1/24,2864,,2022/1/24,17272,2864
2022/3/31,5655,,2022/1/25,9589,,2022/1/26,46,,2022/1/25,4644,,2022/1/25,9589,4644
2022/3/31,5815,,2022/1/26,1707,,2022/1/26,25,,2022/1/26,8824,,2022/1/26,1707,8824
2022/3/31,4105,,2022/1/27,9961,,2022/1/26,175,,2022/1/27,5866,,2022/1/27,9961,5866
2021/10/6,5527,,2022/1/28,5764,,2022/1/26,281,,2022/1/28,4957,,2022/1/28,5764,4957
2021/10/6,5681,,2022/1/29,15167,,2022/1/26,21,,2022/1/29,5572,,2022/1/29,15167,5572
2021/10/6,5512,,2022/1/30,12564,,2021/11/16,25,,2022/1/30,2130,,2022/1/30,12564,2130
2022/1/12,5654,,2022/1/31,10689,,2021/11/16,296,,2022/1/31,8658,,2022/1/31,10689,8658
