date,WIP,MOVE
2021-8-22,3412,74965
2021-8-23,3322,73329
2021-8-24,4428,72879
2021-8-25,4021,66390
2021-8-26,8542,67472
2021-8-27,2325,69550
2021-8-28,7332,69889
2021-8-29,8752,72694
2021-8-30,8505,71398
2021-8-31,7283,69642
2021-9-1,4129,68827
2021-9-2,10397,66198
2021-9-3,9917,67584
2021-9-4,6970,71225
2021-9-5,7475,71368
2021-9-6,5963,68439
2021-9-7,4011,68723
2021-9-8,4239,69392
2021-9-9,3505,66255
2021-9-10,13322,68885
2021-9-11,8098,75003
2021-9-12,9350,71183
2021-9-13,13308,68441
2021-9-14,6566,71171
2021-9-15,12219,69491
2021-9-16,624,73265
2021-9-17,9617,71366
2021-9-18,4638,73286
2021-9-19,860,76470
2021-9-20,7279,73559
2021-9-21,7789,71004
2021-9-22,5441,70773
2021-9-23,6855,71209
2021-9-24,7609,70233
2021-9-25,6109,74341
2021-9-26,8082,75757
2021-9-27,9555,74484
2021-9-28,5221,71700
2021-9-29,6595,71979
2021-9-30,9055,71678
2021-10-2,7752,72626
2021-10-3,714,72631
2021-10-4,6329,70341
2021-10-5,3368,72440
2021-10-6,3476,73697
2021-10-7,5148,73718
2021-10-8,6345,74638
2021-10-9,3611,71251
2021-10-10,10364,74104
2021-10-11,6218,74770
2021-10-12,9604,71945
2021-10-13,9517,70877
2021-10-14,4377,69117
2021-10-15,4961,70266
2021-10-16,12293,72077
2021-10-17,1571,75949
2021-10-18,10712,74281
2021-10-19,3685,75642
2021-10-20,7580,72887
2021-10-21,3474,72980
2021-10-22,6779,73258
2021-10-23,3161,74255
2021-10-24,9952,73734
2021-10-25,6801,70526
2021-10-26,6673,71405
2021-10-27,1143,72493
2021-10-28,4542,72569
2021-10-29,6526,72662
2021-10-30,3947,73021
2021-10-31,2768,71320
2021-11-1,6960,73873
2021-11-2,7179,74696
2021-11-3,7847,70868
2021-11-4,4019,76582
2021-11-6,1651,77319
2021-11-7,2632,75604
2021-11-8,7171,73319
2021-11-9,2953,68325
2021-11-10,5142,73690
2021-11-11,3131,73220
2021-11-12,4491,71438
2021-11-13,8358,76746
2021-11-14,3692,73791
2021-11-15,5393,78728
2021-11-16,5226,79587
2021-11-17,4153,75539
2021-11-18,4330,76896
2021-11-19,896,72234
2021-11-20,7478,75630
2021-11-21,7967,79839
2021-11-22,5610,75859
2021-11-23,2176,74283
2021-11-24,4311,74184
2021-11-25,3965,69561
2021-11-26,5232,73242
2021-11-27,3330,70647
2021-11-28,4179,70127
2021-11-29,8489,71524
2021-11-30,1037,72092
2021-12-1,12573,75047
2021-12-2,2845,86234
2021-12-3,7043,71679
2021-12-4,890,71371
2021-12-6,6619,71299
2021-12-7,4847,71754
2021-12-8,7942,70039
2021-12-9,3172,71625
2021-12-10,2163,74161
2021-12-11,5855,72757
2021-12-13,4882,73222
2021-12-14,4476,72468
2021-12-15,3165,73030
2021-12-16,2554,71543
2021-12-17,10695,74482
2021-12-18,6036,71921
2021-12-19,9474,78263
2021-12-20,2716,71983
2021-12-21,6514,72282
2021-12-22,7999,69935
2021-12-23,10115,75250
2021-12-24,3805,72475
2021-12-25,1427,74847
2021-12-26,8995,72046
2021-12-27,6792,69408
2021-12-28,861,67792
2021-12-29,1971,71272
2021-12-30,6217,71547
2021-12-31,4019,74402
2022-1-1,5337,74632
2022-1-2,9629,77462
2022-1-3,7520,76911
2022-1-4,3389,73096
2022-1-5,11291,72581
2022-1-6,6585,73517
2022-1-7,13170,77304
2022-1-8,9763,72863
2022-1-9,6739,75326
2022-1-10,9897,77201
2022-1-11,2085,74261
2022-1-12,9100,77740
2022-1-13,5629,76580
2022-1-14,5755,74989
2022-1-15,5241,75546
2022-1-16,11079,76983
2022-1-18,13235,76561
2022-1-19,11673,78207
2022-1-20,10936,77350
2022-1-21,75,80323
2022-1-22,4462,79714
2022-1-24,4757,78733
2022-1-25,5785,74743
2022-1-26,12465,75233
2022-1-27,5869,76280
2022-1-28,10264,77247
2022-1-29,10064,82473
2022-1-30,2402,80268
2022-1-31,7689,82135
2022-2-1,2554,81486
2022-2-2,7166,84216
2022-2-3,6855,85590
2022-2-4,7116,84840
2022-2-5,10808,88546
2022-2-6,2693,82278
2022-2-7,7213,83942
2022-2-8,2524,82860
2022-2-9,4875,81914
