Date,WIP,MOVE
2021/8/14,6223,24336
2021/8/15,6987,25366
2021/8/16,7655,26133
2021/8/17,7243,23095
2021/8/18,6578,26449
2021/8/19,7125,27893
2021/8/20,8903,30121
2021/8/21,9927,30001
2021/8/22,23731,32204
2021/8/23,23731,42538
2021/8/24,19985,28860
2021/8/25,27887,24064
2021/8/26,64332,25647
2021/8/27,20815,29589
2021/8/28,34709,26228
2021/8/29,36554,47324
2021/8/30,37057,45261
2021/8/31,22435,57345
2021/9/1,16733,30727
2021/9/2,7690,29908
2021/9/3,1993,19448
2021/9/4,25097,26168
2021/9/5,36152,49453
2021/9/6,47873,32894
2021/9/7,36704,30315
2021/9/8,32132,28463
2021/9/9,27819,32010
2021/9/10,58987,52478
2021/9/11,39395,41133
2021/9/12,6588,17630
2021/9/13,6901,41208
2021/9/14,7599,37892
2021/9/15,7587,50882
2021/9/16,7705,37989
2021/9/17,7934,26175
2021/9/18,7126,46433
2021/9/19,6958,51994
2021/9/20,37127,45893
2021/9/21,30700,36076
2021/9/22,42663,37217
2021/9/23,25169,40997
2021/9/24,29715,27312
2021/9/25,7684,17747
2021/9/26,56189,41219
2021/9/27,55256,33229
2021/9/28,36622,41865
2021/9/29,47374,46948
2021/9/30,50663,42312
2021/10/1,2067,7895
2021/10/2,55986,23017
2021/10/3,7429,57171
2021/10/4,37971,20419
2021/10/5,30445,53943
2021/10/6,24246,54750
2021/10/7,26936,53881
2021/10/8,36694,39787
2021/10/9,26278,31185
2021/10/10,60115,64856
2021/10/11,47226,61503
2021/10/12,66681,39733
2021/10/13,8895,39846
2021/10/14,7342,41559
2021/10/15,7609,41848
2021/10/16,7890,45931
2021/10/17,6424,48465
2021/10/18,47513,45081
2021/10/19,34401,36052
2021/10/20,30351,47911
2021/10/21,28060,51297
2021/10/22,32302,47570
2021/10/23,12456,50217
2021/10/24,52650,39059
2021/10/25,37624,46325
2021/10/26,3226,38974
2021/10/27,5594,21237
2021/10/28,24833,36108
2021/10/29,44004,27861
2021/10/30,28018,36579
2021/10/31,6099,48612
2021/11/1,39580,36580
2021/11/2,43359,41277
2021/11/3,60229,35522
2021/11/4,9012,39331
2021/11/5,892,3498
2021/11/6,17545,30310
2021/11/7,24063,41037
2021/11/8,41653,38790
2021/11/9,23908,39562
2021/11/10,29107,27824
2021/11/11,21059,39383
2021/11/12,40253,47006
2021/11/13,72825,51051
2021/11/14,16420,38324
2021/11/15,32455,38693
2021/11/16,31360,63657
2021/11/17,36148,34251
2021/11/18,27830,42454
2021/11/19,4767,8853
2021/11/20,42896,32638
2021/11/21,44210,25816
2021/11/22,34309,48794
2021/11/23,15059,21628
2021/11/24,30387,43542
2021/11/25,29487,36467
2021/11/26,33305,26982
2021/11/27,20473,45693
2021/11/28,45908,24314
2021/11/29,45809,51415
2021/11/30,11044,61032
2021/12/1,69823,36263
2021/12/2,20282,62142
2021/12/3,47003,45273
2021/12/4,7101,37110
2021/12/5,4128,15900
2021/12/6,45703,33937
2021/12/7,30736,51499
2021/12/8,68047,29619
2021/12/9,26148,37373
2021/12/10,17896,21149
2021/12/11,35307,47358
2021/12/12,987,39702
2021/12/13,34028,61253
2021/12/14,30012,48864
2021/12/15,19404,30164
2021/12/16,16795,35119
2021/12/17,47602,26316
2021/12/18,28297,41446
2021/12/19,28227,45322
2021/12/20,16835,36596
2021/12/21,19162,50030
2021/12/22,36374,30840
2021/12/23,46772,42387
2021/12/24,27805,44122
2021/12/25,17823,26055
2021/12/26,52216,35550
2021/12/27,44890,34570
2021/12/28,10634,43707
2021/12/29,20135,45591
2021/12/30,43776,35745
2021/12/31,12348,38287
2022/1/1,28273,49894
2022/1/2,34093,43311
2022/1/3,34442,45237
2022/1/4,15662,38051
2022/1/5,35684,22415
2022/1/6,23029,38437
2022/1/7,33994,35612
2022/1/8,42852,25907
2022/1/9,33668,55698
2022/1/10,39841,60530
2022/1/11,13723,33844
2022/1/12,27212,30984
2022/1/13,12264,43109
2022/1/14,26425,42159
2022/1/15,22619,46027
2022/1/16,46285,31765
2022/1/17,3780,34108
2022/1/18,44620,41038
2022/1/19,43584,29395
2022/1/20,29492,44656
2022/1/21,2045,7734
2022/1/22,22815,30773
2022/1/23,3690,15780
2022/1/24,14354,36311
2022/1/25,14821,31053
2022/1/26,42927,41646
2022/1/27,26132,49718
2022/1/28,31902,31542
2022/1/29,29568,22509
2022/1/30,11698,42969
2022/1/31,35589,30581
2022/2/1,12810,54501
2022/2/2,22601,46089
2022/2/3,16934,61807
2022/2/4,37641,45007
2022/2/5,37140,25800
2022/2/6,10001,33058
2022/2/7,20583,33725
2022/2/8,10376,21684
2022/2/9,12926,45489
2022/2/10,26766,61377
2022/2/11,5090,14897
2022/2/12,36988,36970
2022/2/13,5145,29731
2022/2/14,47040,60715
2022/2/15,992,55077
2022/2/16,21439,51053
2022/2/17,44081,49023
2022/2/18,38220,49601
2022/2/19,28210,43191
2022/2/20,11671,32304
2022/2/21,63176,58888
2022/2/22,60219,36682
2022/2/23,14708,30752
2022/2/24,4012,39609
2022/2/25,16087,32425
2022/2/26,12757,43848
2022/2/27,3567,18907
2022/2/28,5017,38088
2022/3/1,29735,34668
2022/3/2,5478,47312
2022/3/3,13912,48544
2022/3/4,3568,33607
2022/3/5,61255,37395
2022/3/6,13773,34878
2022/3/7,73598,40164
2022/3/8,3985,17568
2022/3/9,13812,23669
2022/3/10,20496,51843
2022/3/11,31053,36154
2022/3/12,37518,32780
2022/3/13,10169,61109
2022/3/14,28907,31118
2022/3/15,17725,42072
2022/3/16,19601,41484
2022/3/17,16869,36618
2022/3/18,60087,61224
2022/3/19,16599,37863
2022/3/20,19872,42328
2022/3/21,23388,56333
2022/3/22,10842,40478
2022/3/23,15916,31825
2022/3/24,19054,42446
2022/3/25,55645,52732
2022/3/26,31789,49583
2022/3/27,59538,60432
2022/3/28,11818,32837
2022/3/29,12747,44561
2022/3/30,50433,49951
2022/3/31,21933,46557
2022/4/1,16778,52272
2022/4/2,10239,69274
2022/4/3,8592,51710
2022/4/4,17746,74546
2022/4/5,30379,44371
2022/4/6,22677,44844
2022/4/7,22273,32566
2022/4/8,14059,54743
2022/4/9,7817,28411
2022/4/10,11285,39206
2022/4/11,4126,29961
2022/4/12,15636,31807
2022/4/13,17488,34060
2022/4/14,59882,29409
2022/4/15,30794,54833
2022/4/16,3125,48907
2022/4/17,31427,58134
2022/4/18,31640,46752
2022/4/19,27036,35950
2022/4/20,18020,23787
2022/4/21,56602,21218
2022/4/22,38551,60672
2022/4/23,41092,44643
2022/4/24,16671,44047
2022/4/25,3509,20438
2022/4/26,2564,20446
2022/4/27,24805,55102
2022/4/28,15425,53240
2022/4/29,11592,59155
2022/4/30,12936,56231
2022/5/1,22519,49318
2022/5/2,34758,57378
2022/5/3,10942,68015
2022/5/4,29831,58444
2022/5/5,8422,57628
2022/5/6,29581,39340
2022/5/7,2694,46904
2022/5/8,9077,46721
2022/5/9,11038,55007
2022/5/10,2398,53275
2022/5/11,13343,51663
2022/5/12,54420,34398
2022/5/13,21624,71855
2022/5/14,38562,59458
2022/5/15,13712,62664
2022/5/16,33068,40981
2022/5/17,9773,48050
2022/5/18,40645,43451
2022/5/19,535,43353
2022/5/20,11260,50503
2022/5/21,13789,41850
2022/5/22,14017,30483
2022/5/23,48886,48013
2022/5/24,24402,48061
2022/5/25,13968,51730
2022/5/26,2599,51434
2022/5/27,21627,57867
2022/5/28,14875,47778
2022/5/29,19185,61183
2022/5/30,15841,31336
2022/5/31,11311,50895
2022/6/1,37516,43280
2022/6/2,5768,39534
2022/6/3,8790,16898
2022/6/4,4225,52467
2022/6/5,38850,38516
2022/6/6,8441,54700
2022/6/7,40120,28102
2022/6/8,2114,27357
2022/6/9,1998,26907
2022/6/10,1879,26934
2022/6/11,1883,25012
2022/6/12,72359,39729
2022/6/13,16617,62149
2022/6/14,47527,47326
2022/6/15,2009,57230
2022/6/16,73237,39347
2022/6/17,19586,48478
2022/6/18,2577,17784
2022/6/19,21650,42293
2022/6/20,57087,65044
2022/6/21,31550,69392
2022/6/22,20794,56256
2022/6/23,20799,61609
2022/6/24,13319,63407
2022/6/25,19601,39794
2022/6/26,18481,49144
2022/6/27,42092,49145
2022/6/28,14009,45486
2022/6/29,14974,48172
2022/6/30,29360,32430
2022/7/1,5008,29006
2022/7/2,36188,59817
2022/7/3,56921,42790
2022/7/4,50007,41210
2022/7/5,38823,21700
2022/7/6,25214,53115
2022/7/7,14515,27553
2022/7/8,13991,60135
2022/7/9,12905,59969
2022/7/10,16019,66498
2022/7/11,52462,69186
2022/7/12,53058,43840
2022/7/13,10887,45155
2022/7/14,15721,53796
2022/7/15,17501,45512
2022/7/16,5780,55015
2022/7/17,11153,37114
2022/7/18,51797,33221
2022/7/19,47560,50318
2022/7/20,18756,49090
2022/7/21,27106,67728
2022/7/22,27707,38219
2022/7/23,29421,39712
2022/7/24,35376,36463
2022/7/25,5348,12500
2022/7/26,5279,11457
2022/7/27,5312,15993
2022/7/28,26358,55239
2022/7/29,13572,28404
2022/7/30,12693,31336
2022/7/31,45191,43212
2022/8/1,33465,54846
2022/8/2,13708,53092
2022/8/3,43076,56742
2022/8/4,10669,46639
2022/8/5,28362,40697
2022/8/6,41691,62419
2022/8/7,35825,58658
2022/8/8,65561,38533
2022/8/9,14265,33821
2022/8/10,49969,59689
2022/8/11,25305,54765
2022/8/12,25305,48495
2022/8/13,33780,38354
2022/8/14,33780,37635
2022/8/15,47833,50263
2022/8/16,46341,55570
2022/8/17,15686,55570
,,
