Date,WorkstationGroupName,ProdWIP,OMTWIP,,,date,ws_group,all_wpd
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-19,16-PH_193NM_NXT1980,5477
2022-04-22,16-PH_193NM_NXT1980,171,0,,,2021-11-19,16-PH_193NM_NXT1980,5062
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2021-11-19,16-PH_193NM_NXT1980,4117
2022-04-22,16-PH_193NM_NXT1980,0,0,,,2021-11-19,16-PH_193NM_NXT1980,4074
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-19,16-PH_193NM_NXT1980,4397
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-19,16-PH_193NM_NXT1980,2931
2022-04-22,16-PH_193NM_NXT2000,25,0,,,2021-11-19,16-PH_193NM_NXT1980,5503
2022-04-22,16-PH_193NM_XT,0,0,,,2021-11-19,16-PH_193NM_NXT1980,0
2022-04-22,16-PH_193NM_XT,17,0,,,2021-11-19,16-PH_193NM_NXT1980,1901
2022-04-22,16-PH_193NM_XT,50,0,,,2021-11-19,16-PH_193NM_NXT2000,5316
2022-04-22,16-PH_193NM_NXT1980,125,0,,,2021-11-19,16-PH_193NM_NXT2000,5847
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-19,16-PH_193NM_NXT2000,4991
2022-04-22,16-PH_193NM_NXT2000,0,0,,,2021-11-19,16-PH_193NM_NXT2000,5727
2022-04-22,16-PH_193NM_NXT1980,454,0,,,2021-11-19,16-PH_193NM_NXT2000,2943
2022-04-22,16-PH_193NM_NXT1980,46,0,,,2021-11-19,16-PH_193NM_XT,3129
2022-04-22,16-PH_193NM_NXT1980,1079,0,,,2021-11-19,16-PH_193NM_XT,3030
2022-04-22,16-PH_193NM_NXT2000,888,0,,,2021-11-19,16-PH_193NM_XT,2908
2022-04-22,16-PH_193NM_XT,133,105,,,2021-11-19,16-PH_193NM_XT,2998
2022-04-22,16-PH_193NM_XT,25,0,,,2021-11-19,16-PH_193NM_XT,2853
2022-04-22,16-PH_193NM_XT,609,0,,,2021-11-19,16-PH_193NM_XT,4265
2022-04-22,16-PH_193NM_NXT2000,150,0,,,2021-11-19,16-PH_193NM_XT,3007
2022-04-22,16-PH_193NM_NXT1980,2296,4089,,,2022-07-18,16-PH_193NM_NXT1980,6064
2021-09-09,16-PH_193NM_XT,25,0,,,2022-07-18,16-PH_193NM_NXT1980,5601
2021-09-09,16-PH_193NM_NXT2000,537,0,,,2022-07-18,16-PH_193NM_NXT1980,5376
2021-09-09,16-PH_193NM_XT,14,0,,,2022-07-18,16-PH_193NM_NXT2000,5930
2021-09-09,16-PH_193NM_NXT1980,354,0,,,2022-07-18,16-PH_193NM_NXT2000,6054
2021-09-09,16-PH_193NM_NXT2000,200,0,,,2022-07-18,16-PH_193NM_NXT2000,5756
2021-09-09,16-PH_193NM_NXT2000,100,0,,,2022-07-18,16-PH_193NM_NXT2000,5742
2021-09-09,16-PH_193NM_NXT2000,100,0,,,2022-07-18,16-PH_193NM_NXT2000,3059
2021-09-09,16-PH_193NM_XT,25,0,,,2022-07-18,16-PH_193NM_NXT2000,5276
2021-09-09,16-PH_193NM_XT,322,42,,,2022-07-18,16-PH_193NM_XT,2806
2021-09-09,16-PH_193NM_NXT2000,75,0,,,2022-07-18,16-PH_193NM_XT,3099
2021-09-09,16-PH_193NM_NXT2000,375,0,,,2022-07-18,16-PH_193NM_XT,1963
2021-09-09,16-PH_193NM_NXT1980,0,0,,,2022-07-18,16-PH_193NM_XT,2791
2021-09-09,16-PH_193NM_XT,100,0,,,2022-07-18,16-PH_193NM_XT,2797
2021-09-09,16-PH_193NM_XT,0,0,,,2022-07-18,16-PH_193NM_XT,4228
2021-09-09,16-PH_193NM_NXT1980,1149,0,,,2022-07-18,16-PH_193NM_XT,2580
2021-09-09,16-PH_193NM_XT,50,0,,,2022-07-18,16-PH_193NM_XT,3796
2021-09-09,16-PH_193NM_NXT1980,878,0,,,2022-07-18,16-PH_193NM_XT,3180
2021-09-09,16-PH_193NM_XT,0,0,,,2022-07-12,16-PH_193NM_NXT1980,3713
2021-09-09,16-PH_193NM_NXT1980,763,0,,,2022-07-12,16-PH_193NM_NXT1980,4664
2021-09-14,16-PH_193NM_XT,0,0,,,2022-07-12,16-PH_193NM_NXT1980,5353
2021-09-14,16-PH_193NM_NXT2000,1000,0,,,2022-07-12,16-PH_193NM_NXT1980,5605
2021-09-14,16-PH_193NM_XT,1,0,,,2022-07-12,16-PH_193NM_NXT1980,5391
2021-09-14,16-PH_193NM_NXT1980,0,0,,,2022-07-12,16-PH_193NM_NXT1980,5119
2021-09-14,16-PH_193NM_NXT2000,0,0,,,2022-07-12,16-PH_193NM_NXT1980,6036
2021-09-14,16-PH_193NM_NXT2000,902,0,,,2022-07-12,16-PH_193NM_NXT1980,4662
2021-09-14,16-PH_193NM_NXT2000,344,0,,,2022-07-12,16-PH_193NM_NXT1980,4387
2021-09-14,16-PH_193NM_NXT2000,1288,0,,,2022-07-12,16-PH_193NM_NXT2000,5663
2021-09-14,16-PH_193NM_NXT1980,559,0,,,2022-07-12,16-PH_193NM_NXT2000,5285
2021-09-14,16-PH_193NM_NXT1980,92,0,,,2022-07-12,16-PH_193NM_NXT2000,5662
2021-09-14,16-PH_193NM_XT,592,437,,,2022-07-12,16-PH_193NM_NXT2000,6006
2021-09-14,16-PH_193NM_NXT1980,75,0,,,2022-07-12,16-PH_193NM_NXT2000,5830
2021-09-14,16-PH_193NM_NXT2000,474,0,,,2022-07-12,16-PH_193NM_NXT2000,5642
2021-09-14,16-PH_193NM_NXT1980,949,0,,,2022-07-12,16-PH_193NM_XT,2496
2021-09-14,16-PH_193NM_NXT2000,96,0,,,2022-07-12,16-PH_193NM_XT,2274
2021-09-14,16-PH_193NM_NXT1980,96,0,,,2022-07-12,16-PH_193NM_XT,1219
2022-04-22,16-PH_193NM_NXT2000,27,0,,,2022-07-12,16-PH_193NM_XT,2950
2022-04-22,16-PH_193NM_NXT1980,100,0,,,2022-07-12,16-PH_193NM_XT,2904
