Date,WIP,,,WIP,,date,all_wpd,,,MOVE,,DATE,WIP,MOVE
2022/4/22,0,,2021/8/23,2895,,2021/11/19,3129,,2021/8/22,5899,,2021/8/22,2895,5899
2022/4/22,17,,2021/8/24,5450,,2021/11/19,3030,,2021/8/23,6041,,2021/8/23,2895,6041
2022/4/22,50,,2021/8/25,2934,,2022/7/18,2791,,2021/8/24,5860,,2021/8/24,5450,5860
2022/4/22,238,,2021/8/26,8811,,2022/7/18,2580,,2021/8/25,8908,,2021/8/25,2934,8908
2022/4/22,25,,2021/8/27,1266,,2022/7/18,3180,,2021/8/26,5029,,2021/8/26,8811,5029
2022/4/22,609,,2021/8/28,3907,,2022/7/12,2496,,2021/8/27,3243,,2021/8/27,1266,3243
2021/9/9,25,,2021/8/29,5811,,2022/7/12,1219,,2021/8/28,10797,,2021/8/28,3907,10797
2021/9/9,14,,2021/8/30,3592,,2022/7/12,2904,,2021/8/29,9558,,2021/8/29,5811,9558
2021/9/9,25,,2021/8/31,4358,,2022/7/12,4452,,2021/8/30,7566,,2021/8/30,3592,7566
2021/9/9,364,,2021/9/1,1186,,2022/7/12,3229,,2021/8/31,10758,,2021/8/31,4358,10758
2021/9/9,100,,2021/9/2,11264,,2022/7/12,2980,,2021/9/1,10385,,2021/9/1,1186,10385
2021/9/9,0,,2021/9/3,7202,,2022/3/22,2345,,2021/9/2,3139,,2021/9/2,11264,3139
2021/9/9,50,,2021/9/4,3094,,2022/3/22,2345,,2021/9/3,3144,,2021/9/3,7202,3144
2021/9/9,0,,2021/9/5,4795,,2022/3/22,2478,,2021/9/4,7186,,2021/9/4,3094,7186
2021/9/14,0,,2021/9/6,4229,,2022/3/22,0,,2021/9/5,16148,,2021/9/5,4795,16148
2021/9/14,1,,2021/9/7,3764,,2021/11/15,3010,,2021/9/6,2880,,2021/9/6,4229,2880
2021/9/14,1029,,2021/9/8,3968,,2021/11/15,3024,,2021/9/7,5900,,2021/9/7,3764,5900
2021/9/14,146,,2021/9/9,4154,,2021/11/15,2889,,2021/9/8,2963,,2021/9/8,3968,2963
2021/9/14,117,,2021/9/10,6579,,2022/2/14,2510,,2021/9/9,9385,,2021/9/9,4154,9385
2021/9/14,49,,2021/9/11,6068,,2022/2/14,1890,,2021/9/10,15638,,2021/9/10,6579,15638
2021/9/14,0,,2021/9/12,7930,,2022/6/19,2224,,2021/9/11,8670,,2021/9/11,6068,8670
2021/9/14,75,,2021/9/13,7725,,2022/6/19,2888,,2021/9/12,11899,,2021/9/12,7930,11899
2021/9/14,0,,2021/9/14,6347,,2022/6/19,2828,,2021/9/13,8725,,2021/9/13,7725,8725
2022/4/22,25,,2021/9/15,5131,,2022/6/19,3622,,2021/9/14,11972,,2021/9/14,6347,11972
2022/4/22,295,,2021/9/16,711,,2022/6/19,2784,,2021/9/15,11782,,2021/9/15,5131,11782
2022/4/22,75,,2021/9/17,5432,,2022/6/19,3427,,2021/9/16,16069,,2021/9/16,711,16069
2022/4/22,357,,2021/9/18,1636,,2022/3/5,2633,,2021/9/17,3939,,2021/9/17,5432,3939
2022/1/13,121,,2021/9/19,843,,2022/3/5,4315,,2021/9/18,10298,,2021/9/18,1636,10298
2022/1/13,0,,2021/9/20,7779,,2022/3/5,2975,,2021/9/19,7821,,2021/9/19,843,7821
2022/7/3,3849,,2021/9/21,4310,,2021/10/25,3006,,2021/9/20,10325,,2021/9/20,7779,10325
2022/7/3,242,,2021/9/22,6026,,2021/10/25,2558,,2021/9/21,12990,,2021/9/21,4310,12990
2022/7/3,905,,2021/9/23,4369,,2021/10/25,4343,,2021/9/22,4442,,2021/9/22,6026,4442
2022/7/3,0,,2021/9/24,8895,,2022/3/30,3195,,2021/9/23,6515,,2021/9/23,4369,6515
2022/7/3,75,,2021/9/25,5847,,2022/3/30,3089,,2021/9/24,6006,,2021/9/24,8895,6006
2022/4/22,100,,2021/9/26,12505,,2022/3/30,2831,,2021/9/25,6628,,2021/9/25,5847,6628
2022/4/22,105,,2021/9/27,11463,,2022/3/30,2969,,2021/9/26,13188,,2021/9/26,12505,13188
2022/4/22,100,,2021/9/28,6114,,2022/3/30,2049,,2021/9/27,9049,,2021/9/27,11463,9049
2022/6/26,75,,2021/9/29,3918,,2022/3/30,0,,2021/9/28,15004,,2021/9/28,6114,15004
2022/6/26,475,,2021/9/30,6979,,2022/4/1,2146,,2021/9/29,5148,,2021/9/29,3918,5148
2022/6/26,153,,2021/10/1,0,,2022/4/1,1510,,2021/9/30,12143,,2021/9/30,6979,12143
2022/6/26,125,,2021/10/2,6258,,2022/4/1,3536,,2021/10/1,3977,,2021/10/1,0,3977
2022/6/26,871,,2021/10/3,1790,,2022/4/1,3040,,2021/10/2,0,,2021/10/2,6258,0
2022/6/26,0,,2021/10/4,5650,,2021/10/22,1386,,2021/10/3,14037,,2021/10/3,1790,14037
2022/1/13,50,,2021/10/5,2471,,2021/10/22,2440,,2021/10/4,0,,2021/10/4,5650,0
2022/1/13,432,,2021/10/6,2489,,2021/10/22,4275,,2021/10/5,8982,,2021/10/5,2471,8982
2022/1/13,0,,2021/10/7,2126,,2021/10/22,2591,,2021/10/6,8650,,2021/10/6,2489,8650
2022/1/13,0,,2021/10/8,4237,,2022/1/13,3191,,2021/10/7,12792,,2021/10/7,2126,12792
2022/7/3,366,,2021/10/9,1766,,2022/1/13,3085,,2021/10/8,14060,,2021/10/8,4237,14060
2022/7/3,50,,2021/10/10,7125,,2022/1/13,3919,,2021/10/9,3062,,2021/10/9,1766,3062
2022/7/3,472,,2021/10/11,4386,,2021/11/1,2920,,2021/10/10,10251,,2021/10/10,7125,10251
2022/7/3,23,,2021/10/12,9301,,2021/11/1,3094,,2021/10/11,18246,,2021/10/11,4386,18246
2022/6/26,401,,2021/10/13,11602,,2021/11/1,4310,,2021/10/12,10432,,2021/10/12,9301,10432
2022/6/26,288,,2021/10/14,6618,,2021/11/1,3021,,2021/10/13,5434,,2021/10/13,11602,5434
2022/6/26,220,,2021/10/15,3716,,2021/8/24,3064,,2021/10/14,13969,,2021/10/14,6618,13969
2022/6/26,869,,2021/10/16,11672,,2021/8/24,2796,,2021/10/15,16341,,2021/10/15,3716,16341
2022/8/14,44,,2021/10/17,984,,2021/9/25,3881,,2021/10/16,9031,,2021/10/16,11672,9031
2021/9/18,0,,2021/10/18,10075,,2021/9/25,2747,,2021/10/17,10392,,2021/10/17,984,10392
2021/9/18,0,,2021/10/19,4128,,2022/4/3,2909,,2021/10/18,14827,,2021/10/18,10075,14827
2021/12/18,525,,2021/10/20,7190,,2022/4/3,3209,,2021/10/19,12732,,2021/10/19,4128,12732
2021/12/18,1078,,2021/10/21,5352,,2022/4/3,3296,,2021/10/20,5467,,2021/10/20,7190,5467
2022/7/3,0,,2021/10/22,2676,,2022/4/3,0,,2021/10/21,17796,,2021/10/21,5352,17796
2022/7/3,0,,2021/10/23,2309,,2022/6/6,2208,,2021/10/22,10692,,2021/10/22,2676,10692
2022/7/3,175,,2021/10/24,13177,,2022/6/6,2637,,2021/10/23,15431,,2021/10/23,2309,15431
2022/7/3,0,,2021/10/25,6434,,2022/6/6,0,,2021/10/24,11409,,2021/10/24,13177,11409
2021/9/15,0,,2021/10/26,7216,,2022/6/6,3102,,2021/10/25,9907,,2021/10/25,6434,9907
2021/9/15,137,,2021/10/27,1809,,2022/7/10,2738,,2021/10/26,6963,,2021/10/26,7216,6963
2021/9/15,125,,2021/10/28,3081,,2022/7/10,2832,,2021/10/27,5615,,2021/10/27,1809,5615
2022/6/26,1045,,2021/10/29,10054,,2022/7/10,2868,,2021/10/28,15576,,2021/10/28,3081,15576
2022/6/26,21,,2021/10/30,5829,,2022/7/10,4354,,2021/10/29,5930,,2021/10/29,10054,5930
2022/6/26,49,,2021/10/31,3523,,2022/7/10,3113,,2021/10/30,4819,,2021/10/30,5829,4819
2022/6/26,25,,2021/11/1,12152,,2022/7/10,3109,,2021/10/31,13626,,2021/10/31,3523,13626
2022/6/26,25,,2021/11/2,9015,,2021/10/15,3173,,2021/11/1,13345,,2021/11/1,12152,13345
2022/6/26,238,,2021/11/3,11903,,2021/10/15,2908,,2021/11/2,10211,,2021/11/2,9015,10211
2022/8/14,88,,2021/11/4,1735,,2021/10/15,1000,,2021/11/3,13339,,2021/11/3,11903,13339
2022/8/14,23,,2021/11/5,0,,2021/10/15,3135,,2021/11/4,10377,,2021/11/4,1735,10377
2022/8/14,71,,2021/11/6,3596,,2021/10/15,2280,,2021/11/5,13410,,2021/11/5,0,13410
2022/8/14,0,,2021/11/7,3010,,2021/10/15,3845,,2021/11/6,0,,2021/11/6,3596,0
2022/8/14,296,,2021/11/8,9462,,2022/8/10,3170,,2021/11/7,7503,,2021/11/7,3010,7503
2021/9/18,424,,2021/11/9,7276,,2022/8/10,1374,,2021/11/8,0,,2021/11/8,9462,0
2021/9/18,21,,2021/11/10,7032,,2022/8/10,2636,,2021/11/9,15499,,2021/11/9,7276,15499
2021/9/18,25,,2021/11/11,2428,,2022/8/10,4101,,2021/11/10,10279,,2021/11/10,7032,10279
2021/12/18,26,,2021/11/12,11026,,2022/8/10,2794,,2021/11/11,10670,,2021/11/11,2428,10670
2021/12/18,150,,2021/11/13,19763,,2022/8/2,2112,,2021/11/12,8617,,2021/11/12,11026,8617
2021/12/18,463,,2021/11/14,5623,,2022/8/2,2720,,2021/11/13,17847,,2021/11/13,19763,17847
2021/12/18,0,,2021/11/15,5147,,2022/8/2,2519,,2021/11/14,16388,,2021/11/14,5623,16388
2021/12/18,766,,2021/11/16,13662,,2022/8/2,4220,,2021/11/15,8923,,2021/11/15,5147,8923
